FC2A-D010L,1500,2000,0.069,0.094,39200,55,36,2541
FC2A-D020L,1700,2200,0.08,0.088,6300,55,29,2632
FC2A-D030L,2500,3100,0.119,0.13,28800,65,45,2807
FC2A-D040L,3200,4000,0.152,0.166,28000,85,56,3234
FC2A-D050L,4600,5700,0.222,0.239,46900,85,72,3675
FC2A-D060L,5800,7100,0.279,0.311,60200,15,105,4025
FC2A-D070L,7300,9300,0.348,0.355,21500,125,147,4550
FC2A-D080L,8100,11600,0.389,0.466,32500,70,188,6559
FC2A-E150L,14200,20000,0.677,1.066,29300,200,675,9443
FC2A-E180L,15000,23200,0.719,1.066,32000,200,675,10059
FC2A-E210L,18600,23400,0.889,1.066,51500,200,675,10598
FC2A-E240L,23300,32600,1.115,1.308,34200,220,673,11550
FC2A-E270L,27500,33700,1.317,1.308,35200,220,673,12691
39TF-050,28300,51400,1.37,1.389,40000,200,1500,19230
39TF-060,34500,61700,1.64,1.667,47000,200,1500,20923
39TF-070,40300,71300,1.92,1.944,66000,200,1500,22506
39TF-080,46200,83100,2.2,2.667,58000,200,2200,24117
39TF-090,52100,93100,2.48,3,79000,200,2200,25727
39TF-105,59900,108100,2.85,3.5,51000,200,3000,27857
39TF-120,69300,131700,3.3,4,57000,200,4000,30423
